tconst,averageRating,numVotes
tt0062336,6.4,258
tt0069049,6.7,8405
tt0070596,6.8,189
tt0093119,2.7,2195
tt0097767,7.0,7
tt0100275,6.5,441
tt0111596,8.2,71
tt0112502,4.6,46
tt0116991,7.0,86
tt0120589,7.2,546
tt0137204,8.6,298
tt0137818,4.5,40
tt0155174,7.6,170
tt0164115,6.1,54
tt0169526,8.0,11
tt0172182,6.7,119
tt0191010,5.2,178
tt0192528,3.2,163
tt0195933,7.0,6
tt0201206,5.4,9
tt0202523,8.3,12
tt0211266,8.3,14
tt0260293,6.5,117
tt0283440,6.9,18
tt0287075,5.5,176
tt0293429,6.1,201008
tt0297400,7.0,104
tt0305811,8.2,172
tt0308078,5.8,19
tt0315642,7.1,20673
tt0327785,5.8,19676
tt0331314,4.9,479
tt0333099,7.1,83
tt0337926,5.9,777
tt0339736,5.6,4394
tt0346045,6.5,61
tt0346172,3.4,432
tt0360556,5.0,25215
tt0364201,7.3,35
tt0365545,6.4,10260
tt0368133,5.7,9
tt0369610,6.9,717746
tt0376479,6.1,19282
tt0385887,6.8,65520
tt0420293,6.8,47712
tt0427543,6.3,4827
tt0437086,7.3,318408
tt0438755,8.3,56
tt0439572,6.6,242336
tt0441881,6.8,16154
tt0443533,6.3,1599
tt0446792,7.1,33
tt0448115,7.0,407791
tt0451201,2.7,277
tt0451272,7.2,61
tt0451279,7.3,728677
tt0453528,8.4,7
tt0460890,6.4,19395
tt0462335,5.5,47072
tt0470936,4.2,72
tt0473100,3.8,149
tt0475290,6.3,148388
tt0476791,7.6,25
tt0478970,7.2,767161
tt0490215,7.2,130916
tt0491175,5.8,49319
tt0491203,6.2,24185
tt0493076,5.4,3157
tt0493405,6.0,53561
tt0498381,4.5,45291
tt0498396,4.7,3123
tt0499097,5.8,69441
tt0762118,4.3,33
tt0770819,7.3,47
tt0775440,4.4,32546
tt0781524,5.6,42
tt0783640,6.8,15169
tt0787524,7.2,65788
tt0790770,6.4,10908
tt0800175,4.5,5076
tt0800325,7.0,59479
tt0803096,6.7,292053
tt0805647,5.4,50360
tt0810819,7.1,205112
tt0810836,5.3,1174
tt0821486,6.2,38
tt0825283,3.6,4771
tt0825334,8.4,76
tt0835802,5.5,1845
tt0837156,6.1,9702
tt0837563,5.7,103514
tt0838194,7.8,27
tt0848554,3.7,973
tt0850247,7.0,21
tt0850678,6.9,21
tt0858419,5.6,639
tt0859635,6.0,29594
tt0862930,6.7,546
tt0870154,6.5,223875
tt0874268,7.2,56
tt0875612,7.3,13
tt0884732,6.6,83902
tt0887261,5.9,54305
tt0899043,6.5,86009
tt0902292,7.0,138
tt0906327,6.6,24
tt0918520,6.7,24
tt0918940,6.2,195643
tt0920462,4.7,6150
tt0926132,3.6,696
tt0932667,4.9,183
tt0937225,5.3,33
tt0972544,6.3,5892
tt0974015,6.0,499321
tt0977643,5.6,17
tt0983946,4.9,62962
tt0993840,5.8,198332
tt0994837,6.3,41
tt0995854,6.0,3262
tt0995868,7.1,22685
tt10002654,6.2,1125
tt10003008,5.7,42504
tt10003618,6.8,510
tt10003978,7.6,493
tt10003994,6.9,319
tt10004032,2.8,240
tt10004108,4.7,2982
tt10004118,7.4,27
tt10004368,7.0,1538
tt10004372,9.3,8
tt10004396,5.1,88
tt10004574,4.5,33
tt10004944,3.8,417
tt10005130,6.9,31
tt10005184,7.3,62
tt10005250,8.6,13
tt10005378,5.1,24
tt10005622,3.7,154
tt10005688,7.5,11
tt10005864,6.7,19
tt10006006,5.4,8575
tt10006056,6.0,40
tt10006122,6.1,44
tt10006160,4.8,431
tt10006270,4.9,1013
tt10006274,8.0,13
tt10007268,5.6,47
tt10007352,7.1,11
tt10007820,6.2,170
tt10007978,5.9,147
tt10008304,8.4,10
tt10008602,8.6,17
tt10008784,6.3,4217
tt10008996,8.5,7
tt10009030,5.8,3726
tt10009098,7.7,80
tt10009434,5.4,284
tt10009602,7.1,23
tt10009608,6.2,130
tt10009878,5.4,31
tt10010368,7.9,973
tt10010748,8.6,37
tt10010814,6.8,161
tt10010852,6.8,10
tt10011002,5.5,197
tt10011102,7.2,130
tt10011146,6.7,10
tt10011164,6.8,6
tt10011226,7.4,310
tt10011228,5.3,2818
tt10011232,7.3,500
tt10011238,7.7,8
tt10011240,8.9,14
tt10011244,4.5,41
tt10011252,8.2,217
tt10011264,6.9,96
tt10011270,7.5,126
tt10011284,7.3,71
tt10011296,6.9,1453
tt10011302,6.0,81
tt10011312,7.5,347
tt10011320,6.4,315
tt10011336,6.3,1898
tt10011342,6.7,50
tt10011362,6.3,118
tt10011402,7.7,250
tt10011412,6.7,1374
tt10011448,8.0,2624
tt10011480,7.6,100
tt10011500,7.3,498
tt10011508,7.3,2293
tt10011534,7.0,240
tt10011682,6.4,336
tt10011772,6.2,25
tt10011852,7.2,32
tt10012930,8.2,7
tt10012964,7.9,349
tt10013072,6.5,168
tt10013512,5.8,669
tt10013588,5.9,39
tt10013634,7.3,12
tt10014100,7.4,7
tt10014132,8.1,14
tt10014534,6.7,324
tt10014616,6.6,17
tt10014682,8.0,6
tt10014838,6.0,412
tt1001520,6.1,68112
tt10015222,6.2,14
tt10015234,7.1,51
tt10015244,4.0,6914
tt10015248,6.6,130
tt10015286,6.6,2692
tt10015418,6.6,42
tt10015432,6.8,576
tt10015644,7.7,29
tt10015802,8.8,12
tt10015812,5.9,429
tt10016152,8.4,47
tt10016180,6.3,137348
tt10016388,6.5,55
tt10016428,5.6,31
tt10016436,6.2,67
tt10016502,5.4,23
tt10016532,6.4,743
tt10016640,7.4,48
tt10017454,6.5,140
tt10017460,4.3,22
tt10017502,5.3,10
tt10017510,9.4,6
tt10017566,4.7,144
tt10017680,5.9,851
tt10017956,6.8,2861
tt10018386,6.6,54
tt10019108,5.8,421
tt10019402,7.0,418
tt10020682,7.4,58
tt10021068,6.0,8
tt10021478,6.3,15
tt10021582,2.7,325
tt10021622,7.1,64
tt10021754,8.2,5
tt10021804,5.6,13
tt10022158,7.4,404
tt10022384,5.5,1099
tt10022684,8.0,10
tt10022716,5.9,1400
tt10022726,6.0,21
tt10022782,6.1,70
tt10022858,5.0,8
tt10022864,4.9,10
tt10022974,6.8,174
tt10022990,5.4,415
tt10023022,5.6,12851
tt10023024,4.7,11165
tt10023080,7.1,342
tt10023150,5.4,749
tt10023172,5.4,1489
tt10023266,7.1,147
tt10023274,7.7,38
tt10023286,6.1,11690
tt10023812,6.9,23
tt10024036,8.6,8
tt10024044,8.1,15
tt10024716,6.8,48
tt10025196,5.4,12
tt1002563,5.7,4046
tt10025972,8.4,7
tt10026108,6.8,57
tt10026172,7.6,281
tt10026686,7.6,86
tt10026730,6.9,105
tt10026772,9.1,17
tt10027696,6.6,177
tt10027708,7.0,25
