nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000072,Elizabeth Taylor,1932,2011,"actress,producer,soundtrack","tt0061184,tt0051459,tt0053318,tt0061407"
nm0000080,Orson Welles,1915,1985,"actor,writer,director","tt0033467,tt0052311,tt0057427,tt0040525"
nm0000085,Henner Hofmann,1950,-1,"cinematographer,producer,camera_department","tt0097738,tt0097523,tt0113482,tt1825758"
nm0000092,John Cleese,1939,-1,"actor,writer,producer","tt0095159,tt0071853,tt0072500,tt0063929"
nm0000102,Kevin Bacon,1958,-1,"actor,producer,director","tt0087277,tt0164052,tt0361127,tt0327056"
nm0000112,Pierce Brosnan,1953,-1,"actor,producer,executive","tt0143145,tt0795421,tt0120347,tt0155267"
nm0000115,Nicolas Cage,1964,-1,"actor,producer,director","tt0119094,tt0113627,tt0117500,tt0435705"
nm0000116,James Cameron,1954,-1,"writer,producer,director","tt1630029,tt0499549,tt0090605,tt0103064"
nm0000123,George Clooney,1961,-1,"actor,producer,director","tt1124035,tt0433383,tt0465538,tt1193138"
nm0000124,Jennifer Connelly,1970,-1,"actress,producer,visual_effects","tt0268978,tt0315983,tt0180093,tt0286716"
nm0000128,Russell Crowe,1964,-1,"actor,producer,director","tt1707386,tt0172495,tt0268978,tt0119488"
nm0000131,John Cusack,1966,-1,"actor,producer,writer","tt0119229,tt0146882,tt0098258,tt0450385"
nm0000140,Michael Douglas,1944,-1,"actor,producer,director","tt1291580,tt0094291,tt0088011,tt0093010"
nm0000146,Ralph Fiennes,1962,-1,"actor,producer,director","tt0387131,tt2278388,tt0108052,tt1372686"
nm0000154,Mel Gibson,1956,-1,"actor,producer,director","tt0112573,tt0118883,tt0104714,tt0117438"
nm0000163,Dustin Hoffman,1937,-1,"actor,producer,director","tt0084805,tt0095953,tt0064665,tt0079417"
nm0000168,Samuel L. Jackson,1948,-1,"actor,producer,miscellaneous","tt0110912,tt3460252,tt0417148,tt2802144"
nm0000175,Stephen King,1947,-1,"writer,producer,actor","tt0091499,tt0083767,tt0105428,tt0111161"
nm0000178,Diane Lane,1965,-1,"actress,soundtrack,archive_footage","tt0250797,tt0328589,tt0086066,tt2096673"
nm0000191,Ewan McGregor,1971,-1,"actor,producer,writer","tt0203009,tt0117951,tt1322269,tt0120915"
nm0000194,Julianne Moore,1960,-1,"actress,producer,soundtrack","tt0297884,tt0118749,tt2172584,tt0175880"
nm0000204,Natalie Portman,1981,-1,"actress,producer,director","tt0947798,tt0434409,tt1619029,tt0376541"
nm0000217,Martin Scorsese,1942,-1,"producer,director,actor","tt0075314,tt5537002,tt0070379,tt0099685"
nm0000221,Charlie Sheen,1965,-1,"actor,producer,writer","tt0369179,tt0108333,tt0096487,tt0094291"
nm0000242,Mark Wahlberg,1971,-1,"producer,actor,composer","tt0964517,tt0118749,tt0407887,tt1637725"
nm0000243,Denzel Washington,1954,-1,"actor,producer,director","tt2671706,tt1037705,tt0168786,tt0139654"
nm0000246,Bruce Willis,1955,-1,"actor,producer,writer","tt0095016,tt0110912,tt0088571,tt0167404"
nm0000255,Ben Affleck,1972,-1,"producer,actor,writer","tt1024648,tt2267998,tt0840361,tt0119217"
nm0000262,Nancy Allen,1950,-1,"actress,soundtrack,archive_footage","tt0080661,tt0107978,tt0093870,tt0100502"
nm0000285,Alec Baldwin,1958,-1,"actor,producer,writer","tt0407887,tt1230414,tt0104348,tt0318374"
nm0000287,William Baldwin,1963,-1,"actor,producer,stunts","tt0101393,tt0108162,tt0113010,tt0367089"
nm0000293,Sean Bean,1959,-1,"actor,producer,animation_department","tt0120737,tt1181791,tt0944947,tt0332452"
nm0000295,Kate Beckinsale,1973,-1,"actress,producer,miscellaneous","tt0401855,tt3068194,tt0320691,tt0452702"
nm0000299,Michael Biehn,1956,-1,"actor,producer,director","tt0090605,tt0088247,tt0096754,tt0117500"
nm0000300,Juliette Binoche,1964,-1,"actress,director,art_department","tt0116209,tt2452254,tt1219827,tt1020773"
nm0000304,Linda Blair,1959,-1,"actress,producer,miscellaneous","tt0070047,tt0076009,tt0089964,tt0088044"
nm0000306,Brian Blessed,1936,-1,"actor,director,art_department","tt0080745,tt0120915,tt0120855,tt0107616"
nm0000313,Jeff Bridges,1949,-1,"actor,producer,art_department","tt0118715,tt1263670,tt1403865,tt0088172"
nm0000317,Clancy Brown,1959,-1,"actor,producer,soundtrack","tt0111161,tt0120201,tt0409847,tt3501632"
nm0000332,Don Cheadle,1964,-1,"actor,producer,director","tt0375679,tt1540133,tt0988047,tt0790770"
nm0000335,Glenn Close,1947,-1,"actress,producer,director","tt0093010,tt3750872,tt2015381,tt0094947"
nm0000338,Francis Ford Coppola,1939,-1,"producer,director,writer","tt0078788,tt0071360,tt0071562,tt0068646"
nm0000345,Billy Crystal,1948,-1,"actor,writer,producer","tt0113097,tt0101587,tt0098635,tt0122933"
nm0000352,Vincent D'Onofrio,1959,-1,"actor,producer,director","tt0119654,tt0209958,tt0093058,tt0109707"
nm0000353,Willem Dafoe,1955,-1,"actor,producer,writer","tt0145487,tt6938828,tt5649144,tt7984734"
nm0000354,Matt Damon,1970,-1,"producer,actor,writer","tt0119217,tt3659388,tt0407887,tt0134119"
nm0000368,Laura Dern,1967,-1,"actress,producer,writer","tt0107290,tt7653254,tt2305051,tt0090756"
nm0000384,Danny Elfman,1953,-1,"music_department,composer,actor","tt0107688,tt0367594,tt0121164,tt0119654"
nm0000401,Laurence Fishburne,1961,-1,"actor,producer,director","tt0133093,tt1598778,tt0478087,tt0234215"
nm0000410,Stephen Fry,1957,-1,"actor,producer,writer","tt0280707,tt0434409,tt0120514,tt0371724"
nm0000418,Danny Glover,1946,-1,"actor,producer,director","tt0093409,tt0122151,tt0097733,tt1190080"
nm0000422,John Goodman,1952,-1,"actor,producer,soundtrack","tt1179933,tt0101410,tt1024648,tt1907668"
nm0000433,Corey Haim,1971,2010,"actor,producer,soundtrack","tt0093437,tt0095519,tt0091445,tt0090021"
nm0000434,Mark Hamill,-1,-1,"actor,producer,director","tt0076759,tt2527336,tt0080684,tt0086190"
nm0000442,Rutger Hauer,1944,2019,"actor,producer,director","tt1640459,tt0083658,tt0091209,tt0372784"
nm0000458,William Hurt,1950,2022,"actor,producer,archive_footage","tt0399146,tt0120738,tt0080360,tt0092699"
nm0000460,Jeremy Irons,1948,-1,"actor,producer,director","tt0094964,tt0110357,tt2094766,tt0119558"
nm0000474,Michael Keaton,1951,-1,"actor,production_department,producer","tt2562232,tt1895587,tt4276820,tt0096895"
nm0000481,Alice Krige,1954,-1,"actress,producer,writer","tt0117731,tt0105428,tt9086228,tt1981115"
nm0000496,Juliette Lewis,1973,-1,"actress,director,producer","tt0101540,tt1322269,tt0110632,tt0116367"
nm0000513,William H. Macy,1950,-1,"actor,writer,producer","tt0116282,tt0175880,tt1586680,tt0118749"
nm0000518,John Malkovich,1953,-1,"actor,producer,writer","tt0107206,tt0120601,tt0094947,tt0887883"
nm0000525,Heather Matarazzo,1982,-1,"actress,producer,director","tt0114906,tt0498353,tt0118971,tt0247638"
nm0000529,Debi Mazar,1964,-1,"actress,make_up_department,producer","tt0112950,tt0290095,tt0140352,tt0106375"
nm0000531,Frances McDormand,1957,-1,"actress,producer,soundtrack","tt5027774,tt0116282,tt0181875,tt1748122"
nm0000538,Colm Meaney,1953,-1,"actor,producer,soundtrack","tt0106145,tt0105690,tt0375912,tt0118880"
nm0000539,Dina Meyer,-1,-1,"actress,producer,archive_footage","tt0120201,tt0113481,tt0387564,tt0116136"
nm0000553,Liam Neeson,1952,-1,"actor,producer,soundtrack","tt0362269,tt0108052,tt1601913,tt0429493"
nm0000556,Olivia Newton-John,1948,2022,"music_artist,actress,music_department","tt0077631,tt0081777,tt0086494,tt0119094"
nm0000573,Dolly Parton,1946,-1,"music_artist,music_department,producer","tt0162822,tt0092342,tt0073984,tt0080319"
nm0000575,Alexandra Paul,1963,-1,"actress,producer,writer","tt0096542,tt0085333,tt0092925,tt0106689"
nm0000599,Kathleen Quinlan,1954,-1,"actress,producer,director","tt0112384,tt0118771,tt0101761,tt0120633"
nm0000606,Jean Reno,1948,-1,"actor,miscellaneous,archive_footage","tt0110413,tt0095250,tt0122690,tt0383216"
nm0000607,Paul Reubens,1952,2023,"actor,writer,director","tt0090500,tt0089791,tt0094744,tt0251640"
nm0000610,Giovanni Ribisi,1974,-1,"actor,producer,cinematographer","tt0181984,tt0346156,tt0499549,tt0246677"
nm0000616,Eric Roberts,1956,-1,"actor,producer,soundtrack","tt0089941,tt1791528,tt0468569,tt1320253"
nm0000636,William Shakespeare,1564,1616,"writer,miscellaneous,music_department","tt10095582,tt20711868,tt8632012,tt14297038"
nm0000640,Martin Sheen,1940,-1,"actor,producer,director","tt0407887,tt0069762,tt1441912,tt0078788"
nm0000659,Barbra Streisand,1942,-1,"music_artist,actress,producer","tt0062994,tt0086619,tt0070903,tt0117057"
nm0000663,Dominique Swain,1980,-1,"actress,producer,assistant_director","tt0119558,tt0119094,tt0426883,tt0203975"
nm0000667,David Thewlis,1963,-1,"actor,writer,director","tt0107653,tt1201607,tt0466909,tt2980516"
nm0000670,Lea Thompson,1961,-1,"actress,director,producer","tt0088763,tt5039578,tt1727381,tt1758772"
nm0000671,Billy Bob Thornton,1955,-1,"actor,writer,director","tt0117666,tt0120324,tt0243133,tt0219965"
nm0000685,Jon Voight,1938,-1,"actor,producer,writer","tt0064665,tt0118615,tt0089941,tt0068473"
nm0000703,BD Wong,1960,-1,"actor,director,soundtrack","tt0107290,tt4158110,tt0369610,tt0120762"
nm0000705,Robin Wright,1966,-1,"actress,producer,director","tt0109830,tt0217869,tt0442933,tt0093779"
nm0000708,Billy Zane,1966,-1,"actor,producer,director","tt0120338,tt0117331,tt0097162,tt0096874"
nm0000709,Robert Zemeckis,1952,-1,"producer,writer,director","tt0088763,tt0109830,tt0118884,tt1907668"
nm0000711,Rick Baker,1950,-1,"make_up_department,actor,special_effects","tt0133152,tt0119654,tt0780653,tt0170016"
nm0000732,Danny Aiello,1933,2019,"actor,producer,writer","tt0097216,tt0110413,tt0093565,tt0102070"
nm0000739,Debbie Allen,1950,-1,"producer,actress,director","tt0083412,tt0080716,tt0118607,tt0413573"
nm0000782,Asia Argento,1975,-1,"actress,director,writer","tt0418819,tt0295701,tt0804507,tt0368774"
nm0000803,Christopher Atkins,1961,-1,"actor,writer,producer","tt0080453,tt0084504,tt0086011,tt0493406"
nm0000821,Amitabh Bachchan,1942,-1,"actor,producer,writer","tt0375611,tt0213890,tt5571734,tt0337578"
nm0000850,Clive Barker,1952,-1,"writer,producer,actor","tt0100260,tt0093177,tt0103919,tt0887261"
nm0000855,Raymond J. Barry,1939,-1,"actor,archive_footage","tt0305711,tt0110955,tt0841046,tt0139654"
nm0000867,Jason Bateman,1969,-1,"actor,producer,director","tt0367279,tt2948356,tt2170299,tt2704998"
nm0000870,Kathy Bates,1948,-1,"actress,producer,director","tt0100157,tt0109642,tt0120338,tt0257360"
nm0000884,Jennifer Beals,1963,-1,"actress,producer,camera_department","tt0085549,tt1037705,tt0112857,tt0113101"
nm0000886,Warren Beatty,1937,-1,"actor,producer,writer","tt0082979,tt0077663,tt0118798,tt0061418"
nm0000924,Elizabeth Berkley,1972,-1,"actress,producer,soundtrack","tt0114436,tt0116313,tt0096694,tt0256524"
nm0000925,Steven Berkoff,1937,-1,"actor,writer,director","tt0086034,tt0066921,tt1243957,tt0086960"
nm0000929,Corbin Bernsen,1954,-1,"actor,producer,writer","tt0373469,tt0097815,tt0110442,tt0116075"
nm0000953,Peter Bogdanovich,1939,2022,"actor,director,writer","tt0067328,tt0063671,tt0070510,tt0079843"
nm0000962,Carole Bouquet,1957,-1,"actress,director,soundtrack","tt0082398,tt0281364,tt0075824,tt0098520"
nm0000982,Josh Brolin,1968,-1,"actor,producer,director","tt0477348,tt4154796,tt4154756,tt1791528"
nm0000995,Ellen Burstyn,1932,-1,"actress,producer,director","tt0180093,tt0071115,tt0070047,tt0067328"
nm0000998,Jake Busey,1971,-1,"actor,producer,music_department","tt0310988,tt0206508,tt0246989,tt0120660"
nm0001002,Dean Cain,1966,-1,"actor,producer,writer","tt0106057,tt2528814,tt0313443,tt0250687"
nm0001051,Bill Clinton,1946,-1,"writer,producer,actor","tt27941351,tt16756412,tt7466880,tt12660626"
nm0001053,Ethan Coen,1957,-1,"producer,writer,director","tt6412452,tt2042568,tt1019452,tt0116282"
nm0001054,Joel Coen,1954,-1,"producer,writer,director","tt6412452,tt10095582,tt2042568,tt0116282"
nm0001060,Chris Columbus,1958,-1,"producer,writer,director","tt0241527,tt0295297,tt1454029,tt0294870"
nm0001065,Harry Connick Jr.,1967,-1,"actor,music_department,producer","tt0119313,tt0129167,tt0112722,tt0116629"
nm0001075,Peter Coyote,1941,-1,"actor,producer,writer","tt0104779,tt0281358,tt0129290,tt0083866"
nm0001081,Cameron Crowe,1957,-1,"writer,producer,director","tt0181875,tt0116695,tt0259711,tt0105415"
nm0001082,Billy Crudup,1968,-1,"actor,producer,miscellaneous","tt0181875,tt0409459,tt0343737,tt0319061"
nm0001086,Alan Cumming,1965,-1,"actor,producer,director","tt0254099,tt0158622,tt0113189,tt0290334"
nm0001094,Roald Dahl,1916,1990,"writer,actor,soundtrack","tt0100944,tt0062512,tt0067992,tt0047708"
nm0001095,Béatrice Dalle,1964,-1,"actress,archive_footage","tt0856288,tt0090563,tt0102536,tt10272534"
nm0001159,Faye Dunaway,1941,-1,"actress,producer,director","tt0061418,tt0074958,tt0071315,tt0082766"
nm0001166,James Duval,1972,-1,"actor,producer,writer","tt0246578,tt0187078,tt0116629,tt0303361"
nm0001194,Jeff Fahey,1952,-1,"actor,producer,miscellaneous","tt0411008,tt0111756,tt5465142,tt0437086"
nm0001209,William Fichtner,1956,-1,"actor,producer,director","tt0375679,tt1502404,tt0265086,tt1535108"
nm0001213,Harvey Fierstein,1952,-1,"actor,writer,soundtrack","tt0116629,tt0107614,tt0109348,tt0120762"
nm0001218,Sean Patrick Flanery,1965,-1,"actor,producer,writer","tt0114168,tt0144117,tt14537248,tt1477076"
nm0001221,Louise Fletcher,1934,2022,"actress,archive_footage","tt0073486,tt0114857,tt0093036,tt0106145"
nm0001235,William Forsythe,1955,-1,"actor,producer,writer","tt0395584,tt0093822,tt0099422,tt0114660"
nm0001243,William Friedkin,1935,2023,"director,writer,producer","tt0090180,tt0067116,tt0070047,tt0080569"
nm0001250,Charlotte Gainsbourg,1971,-1,"actress,writer,composer","tt0870984,tt2382009,tt1527186,tt1937390"
nm0001252,Vincent Gallo,1961,-1,"actor,director,producer","tt0118789,tt0330099,tt0106307,tt1561768"
nm0001272,Annabeth Gish,1971,-1,"actress,archive_footage","tt0095690,tt0115639,tt0113987,tt3174376"
nm0001274,Paul Michael Glaser,1943,-1,"actor,producer,director","tt0072567,tt0067093,tt0093894,tt0335438"
nm0001285,Elliott Gould,1938,-1,"actor,producer,soundtrack","tt0066026,tt0240772,tt0077294,tt0070334"
nm0001288,Kelsey Grammer,1955,-1,"producer,actor,music_department","tt0083399,tt0106004,tt2109248,tt2333784"
nm0001298,Richard Grieco,1965,-1,"actor,producer,director","tt0102095,tt8804580,tt4702194,tt2294449"
nm0001315,Marcia Gay Harden,1959,-1,"actress,producer,archive_footage","tt0327056,tt0884328,tt0183659,tt0758758"
